"Date","Open","High","Low","Close"
"12 May 2023","43447.15","43905.95","43347.75","43793.55"
"11 May 2023","43535.10","43774.25","43367.25","43475.30"
"10 May 2023","43275.25","43383.65","42822.15","43331.05"
"09 May 2023","43438.55","43533.25","43125.85","43198.15"
"08 May 2023","42796.85","43418.55","42780.30","43284.00"
"05 May 2023","43110.65","43588.00","42582.20","42661.20"
"04 May 2023","43236.10","43739.80","43213.95","43685.45"
"03 May 2023","43154.85","43354.95","43078.15","43312.70"
"02 May 2023","43395.05","43483.85","43269.40","43352.10"
"28 Apr 2023","43045.50","43302.05","42810.35","43233.90"
"27 Apr 2023","42753.90","43043.40","42736.60","43000.85"
"26 Apr 2023","42559.05","42875.60","42432.25","42829.90"
"25 Apr 2023","42731.60","42865.55","42601.50","42678.50"
"24 Apr 2023","42469.95","42714.15","42269.10","42635.75"
"21 Apr 2023","42252.55","42382.15","41962.35","42118.00"
"20 Apr 2023","42218.50","42378.15","42108.85","42269.50"
"19 Apr 2023","42280.10","42339.90","42022.15","42154.00"
"18 Apr 2023","42406.95","42500.70","42114.35","42265.20"
"17 Apr 2023","42603.55","42603.55","41799.00","42262.55"
"13 Apr 2023","41680.10","42196.20","41502.65","42132.55"
"12 Apr 2023","41426.00","41610.15","41332.00","41557.95"
"11 Apr 2023","41232.00","41403.25","40990.20","41366.50"
"10 Apr 2023","41116.15","41139.85","40727.25","40834.65"
"06 Apr 2023","40940.70","41274.70","40820.55","41041.00"
"05 Apr 2023","40972.30","41071.15","40802.65","40999.15"
"03 Apr 2023","40695.80","40857.60","40535.90","40813.05"
"31 Mar 2023","40231.25","40690.40","40180.20","40608.65"
"29 Mar 2023","39611.55","40055.00","39609.55","39910.15"
"28 Mar 2023","39545.05","39645.20","39326.10","39567.90"
"27 Mar 2023","39484.70","39695.20","39273.75","39431.30"
"24 Mar 2023","39555.25","39767.90","39294.90","39395.35"
"23 Mar 2023","39836.15","40201.60","39552.50","39616.90"
"22 Mar 2023","40036.00","40085.60","39837.80","39999.05"
"21 Mar 2023","39599.65","39970.90","39366.30","39894.70"
"20 Mar 2023","39512.10","39512.10","38941.90","39361.95"
"17 Mar 2023","39442.40","39705.15","38926.80","39598.10"
"16 Mar 2023","39061.70","39381.40","38613.15","39132.60"
"15 Mar 2023","39777.90","39914.10","38934.65","39051.50"
"14 Mar 2023","39522.40","39768.50","39132.60","39411.40"
"13 Mar 2023","40356.10","40690.05","39454.60","39564.70"
"10 Mar 2023","40805.25","40839.00","40341.70","40485.45"
"09 Mar 2023","41532.65","41659.00","41208.10","41256.75"
"08 Mar 2023","41178.35","41625.35","41100.35","41577.10"
"06 Mar 2023","41418.40","41671.20","41259.15","41350.40"
"03 Mar 2023","40671.40","41390.15","40605.35","41251.35"
"02 Mar 2023","40604.55","40773.25","40312.90","40389.80"
"01 Mar 2023","40473.85","40725.35","40341.95","40698.15"
"28 Feb 2023","40302.70","40391.45","40073.00","40269.05"
"27 Feb 2023","39820.40","40371.45","39745.40","40307.10"
"24 Feb 2023","40259.10","40348.10","39818.90","39909.40"
"23 Feb 2023","39983.70","40147.80","39600.25","40001.55"
"22 Feb 2023","40494.15","40529.25","39899.00","39995.90"
"21 Feb 2023","40784.90","40946.20","40508.25","40673.60"
"20 Feb 2023","41221.55","41292.60","40580.10","40701.70"
"17 Feb 2023","41514.00","41516.30","40882.70","41131.75"
"16 Feb 2023","41925.70","41979.10","41521.95","41631.35"
"15 Feb 2023","41674.60","41795.45","41455.60","41731.05"
"14 Feb 2023","41410.45","41718.00","41195.75","41648.35"
"13 Feb 2023","41563.50","41662.55","41157.90","41282.20"
"10 Feb 2023","41452.40","41678.90","41424.90","41559.40"
"09 Feb 2023","41634.00","41634.00","41252.95","41554.30"
"08 Feb 2023","41542.05","41791.95","41403.05","41537.65"
"07 Feb 2023","41513.10","41630.75","41095.10","41490.95"
"06 Feb 2023","41530.15","41724.50","41261.20","41374.65"
"03 Feb 2023","41019.35","41539.95","40609.75","41499.70"
"02 Feb 2023","39943.35","40757.60","39761.45","40669.30"
"01 Feb 2023","41115.00","42015.65","39490.50","40513.00"
"31 Jan 2023","40563.85","40811.65","40167.70","40655.05"
"30 Jan 2023","39856.15","40789.55","39419.80","40387.45"
"27 Jan 2023","41382.35","41417.90","40148.80","40345.30"
"25 Jan 2023","42703.60","42733.05","41540.30","41647.65"
"24 Jan 2023","42994.45","43078.90","42615.65","42733.45"
"23 Jan 2023","42891.45","43005.85","42727.70","42821.25"
"20 Jan 2023","42516.05","42709.20","42366.15","42506.80"
"19 Jan 2023","42416.30","42506.25","42234.90","42328.85"
"18 Jan 2023","42271.80","42555.90","42119.65","42458.00"
"17 Jan 2023","42241.20","42383.80","41861.10","42235.05"
"16 Jan 2023","42622.50","42715.65","42066.55","42167.55"
"13 Jan 2023","42171.25","42453.95","41885.60","42371.25"
"12 Jan 2023","42238.50","42343.50","41742.95","42082.25"
"11 Jan 2023","42071.85","42318.00","41729.00","42232.70"
"10 Jan 2023","42642.00","42674.25","41835.75","42014.75"
"09 Jan 2023","42404.85","42716.80","42186.55","42582.75"
"06 Jan 2023","42649.70","42685.90","41877.00","42188.80"
"05 Jan 2023","43073.05","43137.55","42298.60","42608.70"
"04 Jan 2023","43417.50","43578.40","42858.65","42958.80"
"03 Jan 2023","43151.45","43482.80","43148.45","43425.25"
"02 Jan 2023","43038.25","43382.75","42961.75","43203.10"
"30 Dec 2022","43401.70","43422.95","42833.10","42986.45"
"29 Dec 2022","42684.90","43498.05","42489.80","43252.35"
"28 Dec 2022","42733.60","43034.95","42694.85","42827.70"
"27 Dec 2022","42827.75","42927.20","42394.15","42859.50"
"26 Dec 2022","41716.35","42846.15","41569.45","42630.15"
"23 Dec 2022","41951.35","42226.65","41597.65","41668.05"
"22 Dec 2022","42864.00","42933.50","42231.35","42408.80"
"21 Dec 2022","43525.75","43614.65","42363.80","42617.95"
"20 Dec 2022","43152.65","43426.20","42955.40","43359.50"
"19 Dec 2022","43346.35","43451.45","43110.30","43413.75"
"16 Dec 2022","43261.75","43598.20","43080.55","43219.50"
"15 Dec 2022","43940.10","44120.60","43379.10","43498.20"
"14 Dec 2022","44078.60","44151.80","43987.95","44049.10"
"13 Dec 2022","43793.70","43983.80","43767.75","43946.55"
"12 Dec 2022","43455.85","43767.05","43378.80","43708.75"
"09 Dec 2022","43765.30","43853.40","43361.70","43633.45"
"08 Dec 2022","43142.25","43640.90","43095.30","43596.85"
"07 Dec 2022","43157.35","43327.35","42948.45","43098.70"
"06 Dec 2022","43093.90","43306.85","43076.40","43138.55"
"05 Dec 2022","43269.35","43372.15","42985.00","43332.95"
"02 Dec 2022","42976.70","43131.90","42937.80","43103.75"
"01 Dec 2022","43512.10","43515.05","43101.85","43260.65"
"30 Nov 2022","43122.75","43332.30","42880.05","43231.00"
"29 Nov 2022","42959.40","43279.60","42959.40","43053.45"
"28 Nov 2022","42757.20","43159.80","42740.00","43020.45"
"25 Nov 2022","43192.45","43339.15","42864.95","42983.95"
"24 Nov 2022","42838.35","43163.40","42769.65","43075.40"
"23 Nov 2022","42668.55","42860.55","42556.40","42729.10"
"22 Nov 2022","42467.40","42508.75","42347.15","42457.05"
"21 Nov 2022","42286.95","42386.80","42202.55","42346.55"
"18 Nov 2022","42545.75","42590.75","42223.70","42437.45"
"17 Nov 2022","42399.65","42622.75","42366.55","42458.05"
"16 Nov 2022","42371.80","42611.75","42296.30","42535.30"
"15 Nov 2022","42234.85","42450.05","42079.55","42372.70"
"14 Nov 2022","42177.55","42231.45","41965.45","42076.75"
"11 Nov 2022","42163.40","42345.50","41918.10","42137.05"
"10 Nov 2022","41462.85","41643.90","41318.60","41603.75"
"09 Nov 2022","41914.85","41948.90","41667.90","41783.20"
"07 Nov 2022","41740.65","41779.40","41337.05","41686.70"
"04 Nov 2022","41314.85","41516.20","41051.15","41258.45"
"03 Nov 2022","40873.70","41478.00","40819.15","41298.35"
"02 Nov 2022","41472.6","41474.3","41060.45","41146.65"
"01 Nov 2022","41552.4","41677.25","41188.55","41289.55"
"31 Oct 2022","41265.70","41353.70","41106.10","41307.90"
"28 Oct 2022","41236.80","41482.40","40839.30","40990.85"
"27 Oct 2022","41440.70","41511.80","41178.65","41299.30"
"25 Oct 2022","41513.65","41530.65","41021.45","41122.75"
"24 Oct 2022","41348.35","41427.25","41201.15","41304.90"
"21 Oct 2022","40370.75","41032.25","40355.45","40784.05"
"20 Oct 2022","40149.50","40208.35","39848.85","40099.55"
"19 Oct 2022","40556.65","40643.60","40195.20","40373.20"
"18 Oct 2022","40252.05","40435.35","40139.85","40318.75"
